,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__dual,param_classifier__loss,param_classifier__max_iter,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,0.4443028450012207,0.03177298883971742,0.04744272232055664,0.015485387524576918,0.05,True,squared_hinge,5000,l2,"{'classifier__C': 0.05, 'classifier__dual': True, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.9763056092843327,0.9864603481624759,0.972907595549105,0.9148524431543299,0.9172714078374455,0.9535594807975378,0.030949190558761094,21
16,0.27774930000305176,0.0303635962725061,0.0,0.0,0.1,False,hinge,1000,l2,"{'classifier__C': 0.1, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,31
17,0.32010498046875,0.012314992936662104,0.0,0.0,0.1,False,hinge,5000,l2,"{'classifier__C': 0.1, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",,,,,,,,31
18,0.8068893909454345,0.09633194277530642,0.11466622352600098,0.0350984775721413,0.1,False,squared_hinge,1000,l2,"{'classifier__C': 0.1, 'classifier__dual': False, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.9811411992263056,0.9874274661508704,0.9743589743589743,0.9250120948234156,0.9240445089501693,0.9583968487019471,0.02796246313786766,17
19,0.719080114364624,0.04194928226731646,0.08478336334228516,0.020567453628816162,0.1,False,squared_hinge,5000,l2,"{'classifier__C': 0.1, 'classifier__dual': False, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.9811411992263056,0.9874274661508704,0.9743589743589743,0.9250120948234156,0.9240445089501693,0.9583968487019471,0.02796246313786766,17
20,0.5491691589355469,0.037546712632788144,0.05979290008544922,0.008123229025712374,0.1,True,hinge,1000,l2,"{'classifier__C': 0.1, 'classifier__dual': True, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.9816247582205029,0.988394584139265,0.9782293178519593,0.9342041606192549,0.9356555394291244,0.9636216720520213,0.02365876646601391,3
21,0.5131200790405274,0.02778320566117621,0.04314455986022949,0.011343537366999052,0.1,True,hinge,5000,l2,"{'classifier__C': 0.1, 'classifier__dual': True, 'classifier__loss': 'hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.9816247582205029,0.988394584139265,0.9782293178519593,0.9342041606192549,0.9356555394291244,0.9636216720520213,0.02365876646601391,3
22,0.4266451358795166,0.03462716479167664,0.05586690902709961,0.009004037586060712,0.1,True,squared_hinge,1000,l2,"{'classifier__C': 0.1, 'classifier__dual': True, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",0.9811411992263056,0.9874274661508704,0.9743589743589743,0.9250120948234156,0.9240445089501693,0.9583968487019471,0.02796246313786766,17
23,0.409499979019165,0.016970491357517797,0.05323038101196289,0.012556793558220952,0.1,True,squared_hinge,5000,l2,"{'classifier__C': 0.1, 'classifier__dual': True, 'classifier__loss': 'squared_hinge', 'classifier__max_iter': 5000, 'classifier__penalty': 'l2'}",0.9811411992263056,0.9874274661508704,0.9743589743589743,0.9250120948234156,0.9240445089501693,0.9583968487019471,0.02796246313786766,17
24,0.28816733360290525,0.021487231321771563,0.0,0.0,0.5,False,hinge,1000,l2,"{'classifier__C': 0.5, 'classifier__dual': False, 'classifier__loss': 'hinge', 'classifier__max_iter': 1000, 'classifier__penalty': 'l2'}",,,,,,,,31
